block_height,timestamp,difficulty,txs_count,miner_address,network_health,block_age,hash_entropy,miner_reputation,is_valid
64,1770928760,15430532,52,miner_pool_6,0.9597,107,247,0.8757,1
65,1770928880,15452626,45,miner_pool_4,0.8665,118,244,0.8771,1
66,1770929000,15732453,52,miner_pool_4,0.8957,123,219,0.9355,1
67,1770929120,14016396,58,miner_pool_5,0.8593,90,249,0.9438,1
68,1770929240,14815375,47,miner_pool_3,0.9747,144,211,0.8119,1
69,1770929360,14095684,47,unknown_miner_222,0.8572,137,214,0.2165,1
70,1770929480,15323096,52,unknown_miner_673,0.9456,104,210,0.228,1
71,1770929600,14599771,49,miner_pool_8,0.9417,148,225,0.9168,1
72,1770929720,14248835,52,miner_pool_1,0.933,112,234,0.9272,1
73,1770929840,14379283,44,miner_pool_2,0.9997,102,251,0.934,1
74,1770929960,14180778,49,miner_pool_5,0.889,110,226,0.9444,1
75,1770930080,14621116,57,miner_pool_10,0.9359,104,234,0.8174,1
76,1770930200,15468530,58,miner_pool_5,0.9066,119,250,0.8199,1
77,1770930320,14245614,58,miner_pool_6,0.9262,147,243,0.9026,1
78,1770930440,14913317,43,unknown_miner_478,0.9243,135,213,0.4435,1
79,1770930560,15565347,57,miner_pool_2,0.8596,146,256,0.9284,1
80,1770930680,14061571,45,miner_pool_10,0.9933,119,220,0.8535,1
81,1770930800,14954338,41,miner_pool_4,0.8621,140,241,0.8246,1
82,1770930920,14847953,44,miner_pool_8,0.9726,104,212,0.947,1
83,1770931040,15570391,52,miner_pool_3,0.8734,122,247,0.9438,1
84,1770931160,14800880,44,miner_pool_8,0.9925,118,228,0.9092,1
85,1770931280,14592066,59,miner_pool_4,0.8873,131,237,0.9464,1
86,1770931400,15589698,44,miner_pool_8,0.9163,138,225,0.8042,1
87,1770931520,15825890,54,miner_pool_4,0.9361,107,230,0.819,1
88,1770931640,15251959,48,miner_pool_6,0.9073,103,228,0.8589,1
89,1770931760,14657772,53,unknown_miner_275,0.8919,140,230,0.6844,1
90,1770931880,14637006,61,miner_pool_2,0.8801,103,204,0.918,1
91,1770932000,15929618,41,miner_pool_2,0.9819,114,201,0.8124,1
92,1770932120,14991432,58,unknown_miner_621,0.9233,136,208,0.4832,1
93,1770932240,15823552,45,miner_pool_1,0.9906,106,230,0.9079,1
94,1770932360,14109952,33,miner_pool_7,0.8813,124,249,0.9455,1
95,1770932480,14286061,66,miner_pool_1,0.9562,108,203,0.8228,1
96,1770932600,14555220,49,miner_pool_8,0.9186,104,244,0.914,1
97,1770932720,15271673,45,miner_pool_3,0.9433,146,241,0.8099,1
98,1770932840,14938186,45,unknown_miner_147,0.8882,146,217,0.3558,1
99,1770932960,15934188,52,miner_pool_7,0.9104,131,230,0.8424,1
100,1770933080,14832857,68,unknown_miner_498,0.9807,132,213,0.7637,1
101,1770933200,14510650,48,miner_pool_6,0.9287,115,205,0.8191,0
102,1770933320,14933809,41,miner_pool_5,0.8525,90,203,0.817,1
103,1770933440,14357653,59,unknown_miner_140,0.8644,113,203,0.2856,1
104,1770933560,14910002,55,miner_pool_5,0.8521,129,244,0.9131,1
105,1770933680,14024290,52,miner_pool_1,0.9556,148,211,0.8806,1
106,1770933800,14122983,52,miner_pool_2,0.8552,128,228,0.892,0
107,1770933920,14229065,49,miner_pool_6,0.9071,95,245,0.9438,1
108,1770934040,15408313,59,miner_pool_8,0.923,133,251,0.8099,1
109,1770934160,14357117,52,unknown_miner_415,0.9524,131,237,0.4066,1
110,1770934280,15455220,46,miner_pool_8,0.8637,145,237,0.9189,1
111,1770934400,15422065,46,miner_pool_2,0.8623,101,254,0.8572,1
112,1770934520,15809658,54,unknown_miner_512,0.869,135,243,0.3315,1
113,1770934640,14112695,42,miner_pool_3,0.9994,102,247,0.8303,1
114,1770934760,14202938,45,unknown_miner_15,0.9235,124,219,0.2671,1
115,1770934880,14439136,52,miner_pool_4,0.9806,101,255,0.9348,1
116,1770935000,15871015,42,miner_pool_9,0.9242,143,217,0.9294,1
117,1770935120,14635506,39,miner_pool_8,0.9875,144,215,0.8043,1
118,1770935240,14400317,44,unknown_miner_216,0.9795,110,232,0.4388,1
119,1770935360,14106429,47,miner_pool_5,0.9877,139,246,0.9044,1
120,1770935480,14628465,53,miner_pool_4,0.8993,142,227,0.8921,1
121,1770935600,14699609,36,miner_pool_6,0.9524,102,200,0.8396,1
122,1770935720,14381407,45,miner_pool_8,0.967,110,242,0.926,1
123,1770935840,15549246,63,miner_pool_1,0.8813,90,246,0.8116,1
124,1770935960,15599768,43,miner_pool_10,0.9397,103,217,0.921,1
125,1770936080,15410288,61,miner_pool_8,0.9964,126,207,0.8775,1
126,1770936200,14101939,57,miner_pool_10,0.871,108,223,0.9287,1
127,1770936320,14528173,48,miner_pool_2,0.9286,103,253,0.9308,1
128,1770936440,15725636,57,miner_pool_10,0.9536,131,241,0.9047,1
129,1770936560,15654541,43,miner_pool_9,0.9582,139,219,0.8652,1
130,1770936680,14253905,45,miner_pool_2,0.9698,130,211,0.9015,1
131,1770936800,15971892,44,miner_pool_5,0.9209,119,235,0.9344,1
132,1770936920,15286393,52,unknown_miner_843,0.9836,106,220,0.6676,1
133,1770937040,15998465,54,miner_pool_5,0.8799,112,205,0.9095,1
134,1770937160,14353961,46,miner_pool_5,0.9784,116,244,0.8281,1
135,1770937280,15636700,54,miner_pool_9,0.933,111,201,0.9055,1
136,1770937400,14516136,43,miner_pool_7,0.8652,91,213,0.8324,1
137,1770937520,15170170,57,miner_pool_3,0.8795,113,200,0.9195,1
138,1770937640,15168916,43,miner_pool_9,0.9798,147,256,0.9172,1
139,1770937760,14659756,59,unknown_miner_213,0.9235,103,244,0.3237,1
140,1770937880,15564883,47,miner_pool_2,0.8842,103,256,0.9466,1
141,1770938000,15018855,45,miner_pool_10,0.9719,105,218,0.8603,1
142,1770938120,15123717,56,miner_pool_2,0.9537,137,224,0.9451,0
143,1770938240,14140533,56,miner_pool_8,0.9533,100,227,0.8506,1
144,1770938360,15124594,62,miner_pool_2,0.889,107,215,0.9413,1
145,1770938480,14747672,49,unknown_miner_748,0.8522,105,225,0.2294,1
146,1770938600,15957445,52,miner_pool_7,0.9744,109,203,0.8341,1
147,1770938720,15986700,49,miner_pool_4,0.941,112,241,0.8553,1
148,1770938840,14136226,45,miner_pool_6,0.9975,123,237,0.9115,1
149,1770938960,15246070,43,unknown_miner_807,0.8896,101,212,0.3037,1
150,1770939080,14296566,48,unknown_miner_304,0.8534,145,210,0.4851,1
151,1770939200,15306286,58,miner_pool_9,0.963,100,237,0.9148,1
152,1770939320,14733992,44,miner_pool_2,0.9773,144,213,0.9089,1
153,1770939440,14312293,48,unknown_miner_358,0.9513,141,235,0.2711,1
154,1770939560,14565767,66,miner_pool_6,0.9161,136,225,0.9327,1
155,1770939680,14753173,45,miner_pool_7,0.9401,142,209,0.9069,1
156,1770939800,14538513,56,miner_pool_5,0.8919,122,229,0.8938,1
157,1770939920,14171248,57,miner_pool_9,0.9797,132,215,0.8371,1
158,1770940040,15426573,45,miner_pool_7,0.9702,98,229,0.8029,1
159,1770940160,15492298,54,miner_pool_6,0.9472,93,248,0.8536,1
160,1770940280,14550127,45,miner_pool_9,0.9261,97,206,0.8401,0
161,1770940400,15882573,35,miner_pool_5,0.8694,135,236,0.8323,1
162,1770940520,15574687,47,miner_pool_3,0.9398,135,204,0.8484,1
163,1770940640,14926123,44,miner_pool_8,0.9666,91,201,0.8357,1
164,1770940760,14342513,56,miner_pool_3,0.9446,105,210,0.8841,1
165,1770940880,14994294,56,miner_pool_3,0.9238,135,200,0.9077,1
166,1770941000,15533431,44,miner_pool_4,0.9616,107,228,0.8091,1
167,1770941120,14079667,38,miner_pool_9,0.8962,119,255,0.8026,1
168,1770941240,15910508,49,miner_pool_5,0.9585,149,213,0.8401,1
169,1770941360,15728494,55,miner_pool_6,0.9457,112,243,0.8768,1
170,1770941480,15953537,50,miner_pool_10,0.9235,141,208,0.8872,1
171,1770941600,14907152,50,miner_pool_7,0.8952,129,231,0.8625,1
172,1770941720,15929048,45,miner_pool_5,0.9612,118,217,0.8111,1
173,1770941840,14505412,45,miner_pool_4,0.9831,146,229,0.9083,1
174,1770941960,14963343,44,unknown_miner_483,0.9971,125,232,0.6446,1
175,1770942080,14481020,56,miner_pool_4,0.8814,149,214,0.8243,1
176,1770942200,15827710,64,miner_pool_1,0.9438,102,243,0.8492,1
177,1770942320,15898476,49,miner_pool_9,0.9965,124,204,0.8045,1
178,1770942440,14928361,46,unknown_miner_116,0.8973,126,200,0.2579,1
179,1770942560,15040475,45,miner_pool_9,0.9438,149,203,0.8999,1
180,1770942680,14186103,50,unknown_miner_368,0.988,118,223,0.2612,1
181,1770942800,15569805,49,miner_pool_3,0.9015,103,213,0.9082,1
182,1770942920,14694362,46,miner_pool_3,0.8797,112,242,0.8787,1
183,1770943040,15674481,47,miner_pool_1,0.852,123,240,0.8089,0
184,1770943160,14952486,60,unknown_miner_687,0.9474,117,230,0.493,1
185,1770943280,14686271,53,miner_pool_8,0.8868,100,254,0.8376,1
186,1770943400,15328540,50,miner_pool_3,0.8741,115,245,0.8154,0
187,1770943520,14005852,49,miner_pool_5,0.8946,91,249,0.9255,1
188,1770943640,14425628,46,miner_pool_1,0.9784,95,226,0.9059,1
189,1770943760,15622462,61,miner_pool_4,0.9028,97,242,0.8388,1
190,1770943880,14054005,39,miner_pool_9,0.9204,116,213,0.8299,1
191,1770944000,15710277,55,miner_pool_6,0.9237,142,245,0.9361,1
192,1770944120,14511330,51,miner_pool_5,0.9412,131,230,0.9133,1
193,1770944240,15303795,63,miner_pool_2,0.8673,126,214,0.9189,1
194,1770944360,15380278,47,miner_pool_6,0.9056,93,243,0.902,1
195,1770944480,14275549,44,miner_pool_9,0.9001,148,253,0.8523,1
196,1770944600,14414524,50,miner_pool_6,0.9385,107,223,0.8164,1
197,1770944720,15362160,56,miner_pool_2,0.8812,105,232,0.8766,1
198,1770944840,15649359,47,miner_pool_4,0.9624,135,204,0.845,1
199,1770944960,14072341,46,miner_pool_4,0.857,131,244,0.8257,1
200,1770945080,15709102,50,miner_pool_2,0.8748,97,249,0.8415,1
201,1770945200,14999932,62,miner_pool_8,0.9214,98,239,0.8708,1
202,1770945320,14204857,56,miner_pool_1,0.9008,99,240,0.9038,1
203,1770945440,15230054,47,miner_pool_7,0.9782,112,224,0.8109,1
204,1770945560,14979354,54,miner_pool_10,0.9773,115,254,0.8498,1
205,1770945680,14388279,42,miner_pool_7,0.9822,140,253,0.8836,1
206,1770945800,14847710,41,miner_pool_6,0.8734,92,201,0.8927,0
207,1770945920,15559601,59,miner_pool_1,0.9799,109,226,0.8635,1
208,1770946040,15976293,42,miner_pool_7,0.948,101,218,0.8711,1
209,1770946160,14099853,51,miner_pool_2,0.9065,105,206,0.8286,1
210,1770946280,14805085,63,miner_pool_3,0.9808,143,233,0.9147,1
211,1770946400,14985716,47,miner_pool_2,0.9796,123,202,0.8765,1
212,1770946520,15974041,45,miner_pool_4,0.8618,143,236,0.8106,1
213,1770946640,14666768,52,miner_pool_9,0.8575,139,223,0.9415,1
214,1770946760,14721832,48,miner_pool_1,0.8981,128,216,0.859,1
215,1770946880,15405722,46,miner_pool_10,0.9228,108,228,0.8823,1
216,1770947000,14225174,36,miner_pool_2,0.8957,128,249,0.9115,1
217,1770947120,14216599,50,unknown_miner_810,0.8516,134,203,0.3757,1
218,1770947240,14786239,55,miner_pool_7,0.9771,115,251,0.9427,1
219,1770947360,15800064,53,miner_pool_9,0.9495,126,248,0.9363,1
220,1770947480,15710349,47,miner_pool_5,0.9591,127,248,0.9349,1
221,1770947600,15931944,40,miner_pool_9,0.885,146,244,0.9258,1
222,1770947720,14044706,43,miner_pool_9,0.9942,94,202,0.8329,1
223,1770947840,14283232,41,miner_pool_6,0.9042,117,241,0.8933,1
224,1770947960,14783569,41,miner_pool_8,0.8727,138,229,0.8164,1
225,1770948080,15886578,52,miner_pool_3,0.927,96,234,0.8472,1
226,1770948200,15446219,73,miner_pool_2,0.9887,118,219,0.9435,1
227,1770948320,15474734,65,unknown_miner_922,0.8934,99,244,0.4123,1
228,1770948440,14661240,42,miner_pool_9,0.9259,117,212,0.8151,1
229,1770948560,15629938,61,miner_pool_5,0.8685,149,202,0.9404,1
230,1770948680,14963900,60,miner_pool_4,0.9598,112,240,0.8008,1
231,1770948800,15770715,51,miner_pool_9,0.9851,109,204,0.9406,1
232,1770948920,15939077,43,miner_pool_8,0.8809,121,227,0.8642,1
233,1770949040,15098044,61,miner_pool_9,0.9321,135,200,0.8053,1
234,1770949160,14821092,53,miner_pool_5,0.8606,117,233,0.8447,1
235,1770949280,15382391,40,miner_pool_5,0.9608,107,249,0.9175,1
236,1770949400,14569888,49,miner_pool_8,0.904,149,240,0.9427,1
237,1770949520,14328819,38,miner_pool_6,0.923,146,205,0.8378,1
238,1770949640,15378849,48,miner_pool_1,0.8744,119,208,0.8036,1
239,1770949760,14685201,53,unknown_miner_41,0.8903,106,206,0.5978,1
240,1770949880,14270895,56,miner_pool_6,0.8637,120,240,0.9254,1
241,1770950000,14259530,58,miner_pool_1,0.9134,102,234,0.8906,1
242,1770950120,14301120,53,miner_pool_1,0.9421,94,224,0.8688,1
243,1770950240,15954089,56,miner_pool_4,0.8703,97,216,0.8944,1
244,1770950360,15738366,51,miner_pool_5,0.9581,105,242,0.8466,1
245,1770950480,15362758,53,unknown_miner_314,0.9918,105,254,0.7128,1
246,1770950600,14781576,56,miner_pool_9,0.8584,111,214,0.8472,1
247,1770950720,15762962,44,miner_pool_7,0.9167,116,238,0.9381,1
248,1770950840,14590067,50,miner_pool_2,0.949,105,218,0.8845,1
249,1770950960,14783854,36,miner_pool_3,0.8634,104,252,0.9446,1
250,1770951080,15944629,52,miner_pool_5,0.8683,98,210,0.8849,1
251,1770951200,15489338,43,miner_pool_2,0.9422,117,205,0.9297,1
252,1770951320,14507413,47,unknown_miner_406,0.8623,108,235,0.2919,1
253,1770951440,14955065,49,miner_pool_1,0.9573,125,226,0.8338,1
254,1770951560,15327018,49,miner_pool_5,0.9221,120,251,0.9497,1
255,1770951680,15760296,50,miner_pool_9,0.863,106,200,0.8616,1
256,1770951800,15534827,56,miner_pool_8,0.97,149,216,0.8945,1
257,1770951920,15199238,60,miner_pool_9,0.9647,94,239,0.9347,1
258,1770952040,14995225,52,miner_pool_9,0.944,107,247,0.9002,1
259,1770952160,14513404,56,miner_pool_1,0.8659,90,236,0.8438,1
260,1770952280,14307582,50,unknown_miner_378,0.9911,110,234,0.4079,1
261,1770952400,15274479,55,miner_pool_2,0.8587,127,246,0.8363,1
262,1770952520,15039346,42,miner_pool_8,0.8975,137,254,0.9121,1
263,1770952640,14417613,48,miner_pool_1,0.8575,122,240,0.837,1
264,1770952760,15716955,55,miner_pool_1,0.9181,126,237,0.8813,1
265,1770952880,14717359,55,miner_pool_7,0.8543,104,207,0.9069,1
266,1770953000,15427258,51,miner_pool_8,0.9503,142,226,0.8998,1
267,1770953120,14345088,53,miner_pool_3,0.9968,112,233,0.8574,1
268,1770953240,14650521,38,miner_pool_1,0.9139,104,239,0.8511,1
269,1770953360,14332888,44,miner_pool_4,0.9329,90,210,0.8619,1
270,1770953480,15755397,52,miner_pool_9,0.9827,108,250,0.83,1
271,1770953600,14826766,63,miner_pool_7,0.8746,138,232,0.9085,1
272,1770953720,15718384,48,unknown_miner_119,0.8985,141,254,0.5101,1
273,1770953840,14875910,66,miner_pool_7,0.8618,135,215,0.9115,1
274,1770953960,14479044,69,miner_pool_2,0.9722,93,233,0.8401,1
275,1770954080,15267824,47,miner_pool_9,0.9706,129,232,0.9051,1
276,1770954200,15987623,58,miner_pool_3,0.8848,132,255,0.881,1
277,1770954320,14263026,58,miner_pool_4,0.8516,107,256,0.8062,1
278,1770954440,15315455,57,unknown_miner_821,0.9239,108,207,0.6116,1
279,1770954560,14776036,60,miner_pool_5,0.9726,108,205,0.8658,1
280,1770954680,14278770,58,miner_pool_1,0.9165,90,210,0.8919,1
281,1770954800,15585804,41,miner_pool_1,0.8965,143,228,0.8423,1
282,1770954920,14138196,44,miner_pool_9,0.9052,139,209,0.877,1
283,1770955040,15298162,54,miner_pool_6,0.9826,120,217,0.8663,1
284,1770955160,14889318,42,unknown_miner_23,0.9591,99,212,0.7947,1
285,1770955280,14340414,44,unknown_miner_72,0.9578,116,252,0.4404,1
286,1770955400,15410428,39,miner_pool_3,0.9354,108,238,0.9139,1
287,1770955520,14112451,50,unknown_miner_607,0.9548,117,215,0.7301,1
288,1770955640,15404714,57,miner_pool_10,0.8649,100,224,0.8944,1
289,1770955760,15907168,63,miner_pool_10,0.8583,110,241,0.8989,1
290,1770955880,15496134,55,miner_pool_3,0.9274,107,201,0.9034,1
291,1770956000,14932070,48,unknown_miner_740,0.9194,100,236,0.218,1
292,1770956120,14758131,46,miner_pool_3,0.9709,109,256,0.8924,1
293,1770956240,15471747,41,miner_pool_3,0.9187,99,204,0.8456,1
294,1770956360,14259655,45,miner_pool_6,0.9861,139,206,0.8497,1
295,1770956480,15228606,45,miner_pool_1,0.8509,128,240,0.824,1
296,1770956600,14774721,59,miner_pool_6,0.8657,147,222,0.868,1
297,1770956720,14208326,54,miner_pool_7,0.8752,147,210,0.8094,1
298,1770956840,14199349,42,miner_pool_6,0.9684,124,225,0.8955,1
299,1770956960,14611278,73,miner_pool_10,0.9696,110,247,0.8693,1
300,1770957080,15562699,62,miner_pool_3,0.9124,120,252,0.8271,1
301,1770957200,15221476,47,miner_pool_9,0.9818,131,210,0.9125,1
302,1770957320,15579381,61,miner_pool_5,0.9764,138,246,0.8083,1
303,1770957440,15005244,44,miner_pool_8,0.9403,146,230,0.936,1
304,1770957560,15960915,40,unknown_miner_759,0.8675,106,237,0.6446,1
305,1770957680,15108731,43,unknown_miner_255,0.9059,102,225,0.2844,1
306,1770957800,14614177,38,miner_pool_9,0.9061,150,222,0.8038,1
307,1770957920,15619168,43,miner_pool_7,0.9565,110,217,0.9,1
308,1770958040,15453139,50,miner_pool_3,0.9403,111,215,0.8035,1
309,1770958160,14165674,59,unknown_miner_687,0.9058,100,243,0.701,1
310,1770958280,15685149,42,miner_pool_7,0.9947,125,204,0.8935,1
311,1770958400,14748351,46,miner_pool_5,0.961,109,226,0.9212,1
312,1770958520,14281696,38,miner_pool_2,0.8797,100,215,0.919,1
313,1770958640,14804008,59,miner_pool_4,0.956,150,232,0.845,1
314,1770958760,14588625,59,miner_pool_1,0.9519,97,226,0.8928,1
315,1770958880,14775722,56,miner_pool_2,0.8837,128,218,0.8844,1
316,1770959000,15777321,42,unknown_miner_967,0.8527,117,211,0.2627,1
317,1770959120,14699864,61,miner_pool_3,0.9064,97,209,0.8737,1
318,1770959240,15243569,47,miner_pool_9,0.9242,123,225,0.8261,1
319,1770959360,14341406,69,miner_pool_5,0.9165,132,244,0.828,1
320,1770959480,15143307,47,miner_pool_4,0.9883,143,219,0.8262,1
321,1770959600,14379486,49,miner_pool_1,0.8722,134,256,0.8497,1
322,1770959720,15961304,50,miner_pool_3,0.9591,123,208,0.9369,1
323,1770959840,15489363,39,miner_pool_6,0.925,93,235,0.9264,1
324,1770959960,15729125,64,miner_pool_10,0.8865,148,200,0.8178,1
325,1770960080,14221745,45,miner_pool_3,0.8601,119,249,0.8231,1
326,1770960200,15215771,30,miner_pool_4,0.9899,142,205,0.9087,1
327,1770960320,15913301,47,miner_pool_9,0.9584,137,228,0.9048,1
328,1770960440,15417008,48,unknown_miner_988,0.9203,150,243,0.2048,1
329,1770960560,15003019,45,unknown_miner_582,0.8845,113,200,0.4627,1
330,1770960680,14966050,49,miner_pool_10,0.9928,121,254,0.886,1
331,1770960800,14846885,55,miner_pool_3,0.9532,147,249,0.8816,1
332,1770960920,15472381,47,miner_pool_3,0.9822,134,208,0.9377,1
333,1770961040,15081654,38,miner_pool_8,0.9871,128,205,0.8899,0
334,1770961160,15319091,48,unknown_miner_911,0.9269,135,236,0.7709,1
335,1770961280,15799708,53,miner_pool_1,0.9508,141,242,0.8758,1
336,1770961400,15733601,44,unknown_miner_985,0.8916,127,224,0.5618,1
337,1770961520,14562731,63,miner_pool_6,0.9791,148,246,0.8573,1
338,1770961640,14316425,52,miner_pool_9,0.9544,107,219,0.8754,1
339,1770961760,15226690,54,miner_pool_4,0.9467,108,213,0.8829,1
340,1770961880,14605072,53,miner_pool_8,0.912,118,241,0.9108,1
341,1770962000,15996246,43,miner_pool_8,0.993,108,238,0.949,0
342,1770962120,15473903,51,miner_pool_7,0.8923,135,238,0.8728,1
343,1770962240,15999126,53,miner_pool_8,0.9698,125,255,0.8992,1
344,1770962360,15276680,51,miner_pool_7,0.913,124,250,0.8788,1
345,1770962480,14444954,40,unknown_miner_202,0.928,133,256,0.3481,1
346,1770962600,14018604,56,miner_pool_6,0.9266,124,223,0.8434,0
347,1770962720,14819986,48,miner_pool_5,0.8894,131,255,0.8833,1
348,1770962840,14378842,47,unknown_miner_402,0.9017,127,218,0.6926,1
349,1770962960,15758325,53,miner_pool_6,0.9895,141,230,0.9252,1
350,1770963080,15249016,62,miner_pool_6,0.9496,93,216,0.8009,1
351,1770963200,15623315,59,miner_pool_10,0.8697,98,228,0.8467,1
352,1770963320,14160624,53,miner_pool_9,0.8793,102,232,0.8245,1
353,1770963440,14997186,54,miner_pool_4,0.9444,112,231,0.9493,0
354,1770963560,15160114,54,miner_pool_4,0.8824,93,239,0.892,1
355,1770963680,14725326,41,miner_pool_7,0.9387,112,211,0.8094,1
356,1770963800,14657890,47,miner_pool_7,0.8986,95,204,0.8018,1
357,1770963920,15051772,46,miner_pool_10,0.9334,129,254,0.9336,1
358,1770964040,15021692,46,miner_pool_8,0.9291,123,231,0.8406,1
359,1770964160,15670824,47,miner_pool_1,0.9407,140,226,0.836,1
360,1770964280,15978705,39,miner_pool_8,0.9656,111,225,0.8415,1
361,1770964400,14666829,46,miner_pool_6,0.8865,120,235,0.8832,1
362,1770964520,14486837,60,unknown_miner_989,0.9126,91,250,0.2534,1
363,1770964640,15457162,59,miner_pool_10,0.9343,112,206,0.8924,1
364,1770964760,14393687,46,miner_pool_7,0.8927,99,216,0.8595,1
365,1770964880,15549852,46,miner_pool_1,0.9734,102,217,0.8128,1
366,1770965000,15611230,52,miner_pool_6,0.9711,108,218,0.9457,1
367,1770965120,15933054,51,unknown_miner_592,0.9629,101,248,0.7236,1
368,1770965240,14821048,52,miner_pool_7,0.929,130,251,0.8879,0
369,1770965360,15568375,58,miner_pool_9,0.8874,98,238,0.8765,1
370,1770965480,14097472,37,miner_pool_7,0.9377,96,203,0.9489,1
371,1770965600,14633488,60,unknown_miner_922,0.9262,101,248,0.6327,1
372,1770965720,15495008,36,miner_pool_4,0.9299,136,241,0.8026,1
373,1770965840,14992678,47,miner_pool_7,0.9226,139,212,0.8801,1
374,1770965960,14712042,53,miner_pool_1,0.8818,119,201,0.8103,1
375,1770966080,15439512,47,miner_pool_2,0.8817,102,203,0.8471,1
